gwas	eqtl_db	eqtl_origin
T1D_34594039_GCST90018925	ImmuNexUT	Fr_III_T
T1D_34594039_GCST90018925	ImmuNexUT	Fr_I_nTreg
T1D_34594039_GCST90018925	ImmuNexUT	Int_Mono
T1D_34594039_GCST90018925	ImmuNexUT	LDG
T1D_34594039_GCST90018925	ImmuNexUT	mDC
T1D_34594039_GCST90018925	ImmuNexUT	Mem_CD4
T1D_34594039_GCST90018925	ImmuNexUT	Mem_CD8
T1D_34594039_GCST90018925	ImmuNexUT	Naive_B
T1D_34594039_GCST90018925	ImmuNexUT	Naive_CD4
T1D_34594039_GCST90018925	ImmuNexUT	Naive_CD8
T1D_34594039_GCST90018925	ImmuNexUT	NC_Mono
T1D_34594039_GCST90018925	ImmuNexUT	Neu
T1D_34594039_GCST90018925	ImmuNexUT	NK
T1D_34594039_GCST90018925	ImmuNexUT	pDC
T1D_34594039_GCST90018925	ImmuNexUT	Plasmablast
T1D_34594039_GCST90018925	ImmuNexUT	SM_B
T1D_34594039_GCST90018925	ImmuNexUT	TEMRA_CD8
T1D_34594039_GCST90018925	ImmuNexUT	Tfh
T1D_34594039_GCST90018925	ImmuNexUT	Th17
T1D_34594039_GCST90018925	ImmuNexUT	Th1
T1D_34594039_GCST90018925	ImmuNexUT	Th2
T1D_34594039_GCST90018925	ImmuNexUT	USM_B
