gwas	eqtl_db	eqtl_origin	loop_origin	hichip_map
T1D_34012112_Gaulton	Schmiedel_2018	Tfh_memory	CD4_T-cell_naive	M
T1D_34012112_Gaulton	Schmiedel_2018	Th1-17_memory	CD4_T-cell_naive	M
T1D_34012112_Gaulton	Schmiedel_2018	Th17_memory	CD4_T-cell_naive	M
T1D_34012112_Gaulton	Schmiedel_2018	Th1_memory	CD4_T-cell_naive	M
T1D_34012112_Gaulton	Schmiedel_2018	Th2_memory	CD4_T-cell_naive	M
T1D_34012112_Gaulton	Schmiedel_2018	Treg_memory	CD4_T-cell_naive	M
T1D_34012112_Gaulton	Schmiedel_2018	Treg_naive	CD4_T-cell_naive	M
T1D_34012112_Gaulton	ImmuNexUT	Tfh	CD4_T-cell_naive	M
T1D_34012112_Gaulton	ImmuNexUT	Th1	CD4_T-cell_naive	M
T1D_34012112_Gaulton	ImmuNexUT	Th17	CD4_T-cell_naive	M
T1D_34012112_Gaulton	ImmuNexUT	Th2	CD4_T-cell_naive	M
T1D_34012112_Gaulton	ImmuNexUT	Fr_III_T	CD4_T-cell_naive	M
T1D_34012112_Gaulton	ImmuNexUT	Fr_II_eTreg	CD4_T-cell_naive	M
T1D_34012112_Gaulton	ImmuNexUT	Fr_I_nTreg	CD4_T-cell_naive	M
T1D_34012112_Gaulton	ImmuNexUT	Naive_CD4	CD4_T-cell_naive	Y
T1D_34012112_Gaulton	ImmuNexUT	Mem_CD4	CD4_T-cell_naive	M
T1D_34594039_GCST90018925	BLUEPRINT	T-cell	CD4_T-cell_naive	M
T1D_34594039_GCST90018925	GENCORD	T-cell	CD4_T-cell_naive	M
T1D_34594039_GCST90018925	Schmiedel_2018	CD4_T-cell_anti-CD3-CD28	CD4_T-cell_naive	M
T1D_34594039_GCST90018925	Schmiedel_2018	CD4_T-cell_naive	CD4_T-cell_naive	Y
T1D_34594039_GCST90018925	Schmiedel_2018	Tfh_memory	CD4_T-cell_naive	M
T1D_34594039_GCST90018925	Schmiedel_2018	Th1-17_memory	CD4_T-cell_naive	M
T1D_34594039_GCST90018925	Schmiedel_2018	Th17_memory	CD4_T-cell_naive	M
T1D_34594039_GCST90018925	Schmiedel_2018	Th1_memory	CD4_T-cell_naive	M
T1D_34594039_GCST90018925	Schmiedel_2018	Th2_memory	CD4_T-cell_naive	M
T1D_34594039_GCST90018925	Schmiedel_2018	Treg_memory	CD4_T-cell_naive	M
T1D_34594039_GCST90018925	Schmiedel_2018	Treg_naive	CD4_T-cell_naive	M
T1D_34594039_GCST90018925	ImmuNexUT	Tfh	CD4_T-cell_naive	M
T1D_34594039_GCST90018925	ImmuNexUT	Th1	CD4_T-cell_naive	M
T1D_34594039_GCST90018925	ImmuNexUT	Th17	CD4_T-cell_naive	M
T1D_34594039_GCST90018925	ImmuNexUT	Th2	CD4_T-cell_naive	M
T1D_34594039_GCST90018925	ImmuNexUT	Fr_III_T	CD4_T-cell_naive	M
T1D_34594039_GCST90018925	ImmuNexUT	Fr_II_eTreg	CD4_T-cell_naive	M
